imo,count imo,mmsi,count mmsi
9500039,2,352001589,1
9930167,2,352001590,1
9813034,2,352001714,1
9276224,2,352001738,1
9554834,2,352001745,1
9316957,2,352001750,1
9647485,2,352001781,1
9407483,2,352001819,1
9593775,2,352001837,1
9713014,2,352001866,1
9478262,2,352002048,1
9249594,2,352002306,1
9609677,2,352002623,1
9193733,2,352002639,1
9374583,2,352002648,1
9213117,2,352002649,1
9286920,2,352002689,1
9560998,2,352002864,1
9381328,2,352002939,1
9255593,2,352003016,1
9320312,2,352003018,1
9610834,2,352003025,1
9564853,2,352003026,1
9300788,2,352003043,1
9526708,2,352003053,1
9576818,2,352003110,1
9266205,2,352003185,1
9161871,2,352003191,1
9378773,2,352003242,1
9829526,2,352003281,1
9449522,2,352003307,1
9250488,2,352003334,1
9291028,2,352003413,1
9620437,2,352003432,1
9539743,2,352003539,1
1048748,2,352003632,1
9996795,2,352003636,1
9272993,2,352003705,1
9996800,2,352003802,1
9996812,2,352003944,1
9284673,2,352004053,1
9809069,2,352004090,1
9385049,2,352004130,1
9249025,2,352004294,1
9783899,2,352004394,1
9284403,2,352004439,1
9626833,2,352004465,1
1016903,2,352004535,1
9558696,2,352004599,1
9456460,2,352004619,1
9565716,2,352004655,1
9320300,2,352004780,1
9615145,2,352004846,1
9589229,2,352004869,1
9359612,2,352005062,1
9548316,2,352005105,1
9722259,2,352005189,1
9835680,2,352045000,1
9181807,2,352059000,2
9314765,2,352258000,1
9284829,2,352284000,1
9220407,2,352397000,1
9695004,2,352422000,1
9602667,2,352461000,1
9044607,2,352498000,1
9436111,2,352521000,1
9422794,2,352583000,1
9433858,2,352659000,1
9287998,2,352776000,1
9322085,2,352898700,1
9193599,2,352898710,1
9220392,2,352898720,1
9255969,2,352898774,1
9300946,2,352932000,1
9548328,2,352975000,2
9626405,2,352975000,2
9305958,2,352978119,1
9472684,2,352978144,1
9530307,2,352978229,1
9367803,2,352978233,1
9309863,2,352978235,1
9915454,2,352978236,1
9602851,2,352978264,1
9602863,2,352978266,1
9337834,2,352978276,1
9273959,2,352980780,1
9260304,2,352980821,1
9232412,2,352986168,1
9273947,2,352986169,1
9597331,2,352998000,1
9382724,2,353138000,1
9708978,2,353156000,1
9222625,2,353358000,1
9575888,2,353383000,2
9403164,2,353554000,1
9548316,2,353667000,1
9781449,2,353683000,1
9558919,2,353691000,2
9515292,2,353712000,1
9225055,2,353737000,1
9378826,2,353769000,1
9226607,2,353810000,1
9842047,2,354049000,1
9237187,2,354133000,1
9585584,2,354234000,1
9540730,2,354251000,1
9442483,2,354375000,1
9663362,2,354408000,1
9400916,2,354565000,1
9562831,2,354594000,1
9576272,2,354595000,1
9317080,2,354802000,1
9219953,2,354836000,1
9557214,2,354938000,1
9426611,2,354979000,1
9585120,2,354985000,1
9123843,2,355079000,1
9755517,2,355090000,1
9197636,2,355230000,1
9181742,2,355248000,1
9316543,2,355348000,1
4902921,2,355596000,1
9455399,2,355722000,2
9774874,2,355994000,2
9682928,2,356072000,1
9412866,2,356132000,1
9563380,2,356156000,1
9835654,2,356178000,1
9397092,2,356215000,1
9657014,2,356283000,1
9266229,2,356284000,1
9260653,2,356291000,1
9499967,2,356328000,1
9864904,2,356349000,1
9657026,2,356353000,1
9543952,2,356559000,1
9697959,2,356626000,1
9609847,2,356784000,1
9403798,2,356821000,1
9254111,2,356872000,1
9667277,2,356885000,1
9305544,2,357039000,1
9000259,2,357189000,1
9404144,2,357365000,1
9204336,2,357479000,1
9401398,2,357598000,1
9687631,2,357667000,1
1,2,369889000,1
9445241,2,370029000,1
9457139,2,370089000,1
9725809,2,370105000,1
9488798,2,370164000,1
9423487,2,370317000,1
9619660,2,370450000,1
9460540,2,370451000,1
9724051,2,370568000,1
9509267,2,370658000,1
9441659,2,370682000,1
9622813,2,370699000,1
9499943,2,370731000,1
9374911,2,370764000,1
9423504,2,370785000,1
9470246,2,370836000,1
9397250,2,370857000,1
9428011,2,370878000,1
9515448,2,370883000,1
9492957,2,370948000,1
9317030,2,371051000,1
9494929,2,371062000,1
9363807,2,371097000,1
9567752,2,371115000,1
9315484,2,371164000,1
9780706,2,371244000,1
9529645,2,371412000,1
9780718,2,371489000,1
9231999,2,371625000,1
9325398,2,371645000,1
9355393,2,371896000,1
9780287,2,371899000,1
9214977,2,371931000,1
9354569,2,371969000,1
9573919,2,372024000,1
9605994,2,372044000,1
9786994,2,372168000,1
9835678,2,372186000,1
9419670,2,372317000,1
9240031,2,372325000,1
9279630,2,372424000,1
9369100,2,372568000,1
9363431,2,372656000,1
9385805,2,372870000,1
9218064,2,372963000,1
9565766,2,373193000,1
9321914,2,373216000,1
9254733,2,373235000,1
9218076,2,373297000,1
9665853,2,373394000,1
9392559,2,373459000,2
9200964,2,373492000,1
9642734,2,373542000,1
9033074,2,373698000,1
9682899,2,373796000,1
9312327,2,373938000,1
9140023,2,373972000,1
9488047,2,374038000,1
9751121,2,374110000,1
9793478,2,374177000,2
9801419,2,374183000,1
9371651,2,374339000,2
9348522,2,374435000,1
9516698,2,374507000,1
9289867,2,374591000,2
9874636,2,374591000,2
9683130,2,374628000,1
9887114,2,374669000,1
9776509,2,374686000,1
9698197,2,374700000,1
9747273,2,374842000,1
9216248,2,374948000,1
9377133,2,374962000,1
9369136,2,374986000,1
9682708,2,375789000,1
9522075,2,376241000,1
9213947,2,377434000,1
9682693,2,377566000,1
9622813,2,405000336,1
9717072,2,405000340,1
9717060,2,405000343,1
9327102,2,405000415,1
9493975,2,405000420,1
9323558,2,412348000,1
